Serial Number,Author(s),doi,Species,Plant part used,place,TPC,TFC,TCC,Methodogy,solvent system,scienctific name,result,mislenious,Exatraction technique,FRAP,ABTS,DPPH,Unit meaning
48,"(PACHECO et al., 2014)",doi:10.12966/irjh.01.01.2014,Passiflora edulis Sims.,fruit pulp,Brazil ,361.9,29.1,278.7,maceration method,,PASSIFLORA EDULIS F. FLAVICARPA,Passiflora edulis F. Flavicarpa Deg. had the highest ash concentration in the seed and which was followed by the ash in the outer coat. , ascorbic acid, The digests were removed and covered with glasses. Two millilitres of 50 gl-1 lanthanum chloride solution was added and the beakers were heated for the second time until dryness. Each of the final solutions was washed into a 25 ml standard flask with 0.1M HNO3 (10 ml) and made up to the mark with distilled de-ionised wate,,,,
49,"(Andasuryani et al., 2020)",doi:10.1088/1742-6596/1469/1/012001,Passiflora edulis Sims.,fruit pulp,Brazil ,30.28,21.03,,maceration method,methanol,PASSIFLORA EDULIS F. FLAVICARPA,"Total phenol analysis showed a linear relationship with antioxidant activity. Thus, the seeds of sweet passion fruit also have potential as a raw in the food industries, chemical, and pharmacy such as the seeds of acid passion fruit that have been reported by previous researchers.",The purpose of this research is to analyse the chemical properties of sweet passion of cv. Gumanti seed based on maturity level so that the nutritional content is known. ,"the result showed strong antioxidant activity (IC50: 50-100 ppm), where there was a significant based on maturity level (P < 0.05). ",,,,
50,"(Andrade et al., 2021)",https://doi.org/10.1016/j.foodres.2021.110282,Passiflora edulis Sims.,fruit pulp,Brazil ,127.65,12.3,,Soxhlet  method,,PASSIFLORA EDULIS F. FLAVICARPA, The results revealed high contents of total phenolics (13.34 0.19  127.65 0.21 mg.g of :QE (2:1) of sample) and flavonoids (12.30 0.42  71.79 0.00 mg.g QE of sample). , ascorbic acid, The ABTS results exhibited extraordinary activity in the extracts (74.48 6.23  1487.33 2.67 mol Trolox.g of sample). ,,,,
51,"(Septembre-Malaterre et al., 2016)",http://dx.doi.org/10.1016/j.foodchem.2016.05.147,Passiflora edulis Sims.,fruit pulp,France,"286.6
","70.1 
","3829.22
",Soxhlet  method,,PASSIFLORA EDULIS F. FLAVICARPA,"Results showed that total amounts of carbohydrates, vitamin C and carotenoids were 7.767.3g glucose equivalent, 4.784.9mg ascorbic acid equivalent and 26.63829.2¼g ²-carotene equivalent/100g fresh weight, respectively.", ascorbic acid,,,,,
52,"(ROSRIO et al., 2022)",https://doi.org/10.1590/fst.22222,Passiflora edulis Sims.,fruit pulp,Brazil ,18.88,13.51,,Soxhlet  method,,PASSIFLORA EDULIS F. FLAVICARPA,"The content of phenolic compounds was six times higher in the flour (18.88 mg AGE/100 g) than in the in natura albedo (2.99 mg AGE/100 g), which suggests that dehydration caused the concentration of phenolic compounds in the albedo of yellow passion fruit, with the temperature submitted for the elaboration of this product being adequate.",Tenine,"Passion fruits were selected, washed in running water, sanitized with sodium hypochlorite solution and washed again to remove excess solution. Then, the albedos were separated, crushed and subjected to the drying process in an air circulation oven  at 55 C and an air velocity of 1.0 m/s for 12 h. The flour was obtained by grinding the dehydrated albedo in a knife mill  for 5 minutes. ",,43.75,,
53,"(de Santana et al., 2017)",https://doi.org/10.1007/s13197-017-2813-3,Passiflora edulis Sims.,fruit pulp,Brazil ,3.12,3.68,1.33,Soxhlet  method,,PASSIFLORA EDULIS F. FLAVICARPA,"The polyphenol content and antioxidant capacity, which were assessed by the 2,2-diphenyl-1-picrylhydrazyl radical scavenging activity, oxygen radical absorbance capacity, ²-carotene bleaching assay, and ferric reducing antioxidant power assay, were considered dependent variables. ", vitamin C,"The conditions for the solidliquid extraction of the antioxidant polyphenol compounds from yellow passion fruit seeds were optimized by response surface methodology with the following variables as the extraction parameters: extraction time (12.8147.2 min), ethanol concentration (1397%), and temperature (16.483.6 C). ",,,,
54,"(Melo et al., 2020)",doi: 10.9755/ejfa.2020.v32.i12.2224,Passiflora edulis Sims.,fruits,Brazil ,0.77,,,Soxhlet  method,,PASSIFLORA EDULIS F. FLAVICARPA,"The  phytochemical  composition  of  passion  fruit  residue  fl our  was  determined  based on the estimated levels of condensed tannin (proanthocyanidins), total fl avonoids, and phenolic compounds. The analyses were performed in triplicate, and the results expressed as mean standard deviation", vitamin C,"The DPPH assay showed that the yellow passion fruit residue flour has significant antioxidant activity, and there was a positive correlation between antioxidant activity and the total phenolic content according to the ABTS assay and the DPPH radical scavenging method.",,,49.71,
55,"(Weber et al., 2021)",https://doi.org/10.14393/BJ-v37n0a2021-54096,Passiflora edulis Sims.,seeds,Brazil ,128.82,62,7.4,,,PASSIFLORA EDULIS F. FLAVICARPA,"The contents of tocopherols in the fruits grown via organic cultivation were superior to those developed using conventional methods: 0.061 mg of tocopherols per 100 g of fresh fruit and 0.052 mg of tocopherols per 100 g of fresh fruit, respectively. This could be due to the stressful conditions that are inherent in the organic cultivation system, which favor the synthesis of bioactive compounds from the secondary metabolism", vitamin C,,,,49.71,
56,"(de Oliveira et al., 2017)",http://dx.doi.org/10.1016/j.scienta.2017.05.021,Passiflora edulis Sims.,fruits,Brazil ,27.1,5.25,0.79,Soxhlet  method,,PASSIFLORA EDULIS F. FLAVICARPA,"The use of PVC packaging does not influence the antioxidant activity and the total phenolic and ascorbic acid contents of yellow passion fruit juice during storage. The PVC package did not inhibit symptoms of pathogen development up to 30 days of storage, but reduced the loss of fresh mass and fruit wrinkling, providing optimal marketing conditions for up to 20 days of storage at 5 C.", vitamin C,"No positive correlations were found between DPPH and TEAC activities and total phenolic content, suggesting that the latter does not contribute to the antioxidant activity of passion fruit juice. ",,,,
57,"(Moreira et al., 2017)",https://doi.org/10.14393/bj-v33n4a2017-36680,Passiflora edulis Sims.,fruit pulp,Brazil ,2.09,506.45,3.38,Soxhlet  method,,PASSIFLORA EDULIS F. FLAVICARPA,The results for carotenoids obtained for all the passion fruit germplasm grown in Ecuador were higher (from 22.80 to 67.73 g ² carotene g) than those found by Wondracek et al. (7.80 g ² carotene g) and  (1.87 g ² carotene g)., vitamin C,"Pulp was extracted from the fruit and dried by lyophilization. Dried samples were ground in a Retsch model ZM 200 mill (Hann, Germany) then passed through a stainless-steel sieve (1 mm mesh) to a uniform particle size.",,,,
58,"(Liu et al., 2008)",https://doi.org/10.1080/09637480801931128,Passiflora edulis Sims.,fruit pulp,Brazil ,1.54,0.54,2.98,,methanol,PASSIFLORA EDULIS F. FLAVICARPA,Passiflora edulis F. Flavicarpa Deg. had the highest ash concentration in the seed and which was followed by the ash in the outer coat. , vitamin C,"So far, 33 flavonoids have been identified in various parts of P. edulis. Among them, the major flavonoids identified from P. edulis are vitexin, isovitexin, isoorientin, apigenin, quercetine, luteolin, and their derivatives, which represent important classes of effective compounds in P. edulis regarding their various biological and pharmacological properties",,,,
59,"(Emmanuel Ilesanmi  et al., 2013)",https://www.researchgate.net/deref/https%3A%2F%2Fhal.inrae.fr%2Fhal-02669062,Passiflora edulis Sims.,fruit pulp,Brazil ,1.7,,,maceration method,,PASSIFLORA EDULIS F. FLAVICARPA,Passiflora edulis F. Flavicarpa Deg. had the highest ash concentration in the seed and which was followed by the ash in the outer coat. , vitamin C, The digests were removed and covered with glasses. Two millilitres of 50 gl-1 lanthanum chloride solution was added and the beakers were heated for the second time until dryness. Each of the final solutions was washed into a 25 ml standard flask with 0.1M HNO3 (10 ml) and made up to the mark with distilled de-ionised wate,,,,
60,"(Almeida et al., 2020)",https://doi.org/10.14295/cs.v11i0.3342,Passiflora edulis Sims.,fruit pulp,Brazil ,18.8,13.51,,maceration method,,PASSIFLORA EDULIS F. FLAVICARPA,Each species showed specific physicochemical characteristics producing oil with different compositions and properties. The PCA indicates that the first two PCs for the oil properties accounted for 73.44% of the total variance. , vitamin C,Passiflora seed oil was extracted using the Soxtec solvent extraction technique with petroleum ether as the solvent. Five grams of the finely ground seed meal was weighed into six separate reservoirs,,,33.63,
61,"(Pires et al., 2008)",http://dx.doi.org/10.1590/S0100-06832008000500021,Passiflora edulis Sims.,fruit pulp,Brazil ,"286.62
",,29.1,maceration method,,PASSIFLORA EDULIS F. FLAVICARPA,"In fructose-induced insulin resistance, serum triglycerides levels young rats, P.r, of adipocytes.194 growth of fat deposits in the liver and widening of the diamete edulis peel flour, given for 8 weeks, prevented.", vitamin C,,,,,
62,"(Karla et al., 2015)",https://ijoer.com/assets/articles_menuscripts/file/IJOER-AUG-2015-21.pdf,Passiflora edulis Sims.,fruit pulp,Brazil ,18.8,70.1,,superficial method,,PASSIFLORA EDULIS F. FLAVICARPA,"The results ofDPPH are reported as 16 MTrolox equivalents (TE)/100 g fw,
1.25mg dw/mL and >10mg dw/mL in pulp, peel, and seed, respectively. In the same way, an
in vitro assay of alpha-glucosidase inhibitionwas developed and indicated that peel extract inhibited
about 11.8-fold, as compared to acarbose.",,,,,  49.71.,
63,"S.D. Ramaiya,J.S. BujangandM.H. Zakaria",https://doi.org/10.3923/pjn.2019.421.429,Passiflora edulis Sims.,fruit pulp,Brazil ,570.7,3.23,,superficial method,methanol,PASSIFLORA EDULIS F. FLAVICARPA,"The  phytochemical  composition  of  passion  fruit  residue  fl our  was  determined  based on the estimated levels of condensed tannin (proanthocyanidins), total fl avonoids, and phenolic compounds. The analyses were performed in triplicate, and the results expressed as mean standard deviation", vitamin C,"The DPPH assay showed that the yellow passion fruit residue flour has significant antioxidant activity, and there was a positive correlation between antioxidant activity and the total phenolic content according to the ABTS assay and the DPPH radical scavenging method.",118.65,,  43.42.,
64,W. Debideen  and G.M. Sammy,https://sta.uwi.edu/eng/wije/vol0601_jul1978/documents/Abs04v6n1WDebideenJuly1978.pdf,Passiflora edulis Sims.,fruit pulp,Brazil ,13.34,12.3,7.4,superficial method,,PASSIFLORA EDULIS F. FLAVICARPA,The results for carotenoids obtained for all the passion fruit germplasm grown in Ecuador were higher (from 22.80 to 67.73 g ² carotene g) than those found by Wondracek et al. (7.80 g ² carotene g) and  (1.87 g ² carotene g)., vitamin C,"Pulp was extracted from the fruit and dried by lyophilization. Dried samples were ground in a Retsch model ZM 200 mill (Hann, Germany) then passed through a stainless-steel sieve (1 mm mesh) to a uniform particle size.",,,,
65,"(M. et al., 2017)",DOI: 10.20959/wjpr201714-9978,Passiflora edulis,leaf,India,,,1.89,superficial method,methanol,Passiflora edulis,"Preliminary phytochemical screening of Passiflora edulis shows the presence of steroids, alkaloids, flavonoids, Tannins, polyphenols and terpenoids.",Tannins,"The samples were extracted using hexane, methanol and aqueous. The powdered leaves (100 g) was weighed and soaked in 300ml of hexane, methanol and distilled water in a conical flask separately. The conical flask containing the powdered leaves and solvent was shaken vigorously, corked and left to stand for 72 hrs. at room temperature",711.01,20.27,26.23,
66,"(M. et al., 2017)",DOI: 10.20959/wjpr201714-9979,Passiflora edulis,leaf,India,,,1.89,superficial method,methanol,Passiflora edulis,"Preliminary phytochemical screening of Passiflora edulis shows the presence of steroids, alkaloids, flavonoids, Tannins, polyphenols and terpenoids.",Tannins,"The samples were extracted using hexane, methanol and aqueous. The powdered leaves (100 g) was weighed and soaked in 300ml of hexane, methanol and distilled water in a conical flask separately. The conical flask containing the powdered leaves and solvent was shaken vigorously, corked and left to stand for 72 hrs. at room temperature",711.01,20.27,26.23,
67,"(Corrªa et al., 2016)",http://dx.doi.org/10.1016/j.tifs.2016.10.006,passion fruit,Entire pulp,,4.31,,19.7,superficial method,,Passiflora edulis,"A series of emerging technologies firmed on non-thermal principals, along
with encapsulation by nanoparticles methods, have been studied for the sustainable recovery of some
target high added-value compounds from Passiflora spp. and their co-products, which include biologically
active components such as polyphenols, terpenes, peptides, polysaccharides and dietary fibers","piceatannol
(3,4,30,5-tetrahydroxy-trans-stilbene)",,,,IC50  16 mM,
68,"(Bestwick et al., 2020",https://doi.org/10.3390/foods9070891,passion fruit,Entire pulp,UK,9.36,51.65,,Soxhlet  method,,Passiflora edulis,"In general, the smoothies contained a wider range of compounds whereas the juices were found to contain fewer compounds in the higher concentration range (>0.1 ).",cinnamic acid,"samples (approx. 0.1 g dry weight; n = 3) were suspended in HCl (0.2 mol dmˆ’3; 3 cm3), extracted into ethyl acetate (EtOAc; 5 cm3) and the layers separated by centrifugation (5 min; 1800—g; 4 C).",0.8 ml/L,,,
69,"(de Carvalho et al., 2018)",https://doi.org/10.1016/j.foodchem.2018.05.097,passion fruit,pulp,Brazil,"78.52
","1.30
",,superficial method,,Passiflora setacea,"Total flavonoids, orientin, isovitexin, hesperetin, proanthocyanidins
and FRAP (TAA) were positively connected to first dimension. The less
distance between Trellis Rainy season samples (TR1 and TR2) and
phytochemical variables represents more degree of association",Vitamin C," Pulp moisture was measured by drying at 105 C and at 70 C
under vacuum, according to standard procedure",82.4,,,
